Ensembl	GeneSymbol	R1t0_5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R2t0_5	R2t1	R2t2	R2t8	R2t16	R2t24	R2t30
ENSG00000144224	UBXN4	-0.01	-0.02	-0.04	0.35	0.78	0.46	0.33	-0.06	-0.11	-0.23	0.1	0.31	0.29	0.24
ENSG00000149115	TNKS1BP1	-0.01	-0.03	-0.07	0.47	0.24	0.01	-0.17	0.05	0.1	0.19	-0.3	0.06	0.08	0.05
ENSG00000149782	PLCB3	0	-0.01	-0.01	-0.13	-0.36	-0.41	-0.48	-0.07	-0.14	-0.29	-0.84	-0.32	-0.23	-0.2
ENSG00000150593	PDCD4	-0.09	-0.17	-0.34	0.19	0.11	-0.1	-0.27	-0.03	-0.05	-0.11	0.04	0.3	0.11	0.06
ENSG00000150961	SEC24D	0.07	0.13	0.25	1.01	0.76	0.32	0.06	-0.06	-0.11	-0.22	1.6	0.97	0.28	-0.24
ENSG00000151632	AKR1C2	-0.2	-0.41	-0.83	-2.27	-0.63	0.74	1.76	-0.25	-0.49	-0.97	0.55	0.92	1.31	1.61
ENSG00000153207	AHCTF1	0.23	0.46	0.93	1.03	0.54	0.34	0.13	0.08	0.15	0.3	-0.13	-0.04	-0.18	-0.31
ENSG00000155959	VBP1	-0.04	-0.09	-0.18	-0.45	-0.08	-0.02	-0.01	-0.06	-0.13	-0.25	0.04	-0.05	-0.03	-0.01
ENSG00000163002	NUP35	0.03	0.07	0.14	-0.14	-0.04	0.05	0.13	0.07	0.15	0.29	-0.23	-0.11	0.01	0.1
ENSG00000164904	ALDH7A1	-0.03	-0.05	-0.1	-0.35	-0.51	-0.42	-0.32	-0.09	-0.17	-0.34	-0.58	-0.54	-0.43	-0.36
ENSG00000166741	NNMT	0	-0.01	-0.02	0.26	0.23	0.29	0.35	0.02	0.04	0.08	0.08	0.12	0.34	0.52
ENSG00000168264	IRF2BP2	0.1	0.21	0.42	0.75	0.52	0.27	0.05	0.13	0.26	0.52	0.51	0.2	0.1	0
ENSG00000168906	MAT2A	0.09	0.17	0.34	-1.1	-0.25	0.57	1.18	-0.39	-0.78	-1.56	-0.98	-0.59	-0.2	0.09
ENSG00000170473	WIBG	-0.1	-0.19	-0.4	-0.45	-0.28	-0.22	-0.16	-0.03	-0.05	-0.11	-0.12	-0.23	-0.17	-0.11
ENSG00000172172	MRPL13	-0.03	-0.06	-0.13	-0.48	-0.25	-0.09	0.02	-0.06	-0.11	-0.22	-0.28	-0.27	-0.32	-0.36
ENSG00000173801	JUP	-0.03	-0.06	-0.13	0.74	0.55	0.32	0.15	-0.14	-0.27	-0.54	1.06	0.79	0.44	0.17
ENSG00000175054	ATR	0	0	0	0.01	0.21	0.36	0.48	0.12	0.23	0.45	0.05	0.34	0.59	0.77
ENSG00000175467	SART1	-0.09	-0.18	-0.37	-0.34	-0.13	-0.11	-0.11	-0.06	-0.12	-0.25	0.13	-0.06	-0.25	-0.39
ENSG00000177425	PAWR	-0.03	-0.06	-0.13	0.4	0.46	0.09	-0.24	0.11	0.22	0.45	0.77	0.77	0.1	-0.15
ENSG00000178425	NT5DC1	-0.04	-0.07	-0.12	-0.41	-0.16	0.12	0.33	-0.04	-0.09	-0.18	-0.23	-0.08	0.11	0.25
ENSG00000179295	PTPN11	-0.18	-0.37	-0.73	-0.57	-0.44	-0.52	-0.58	0.09	0.18	0.37	-0.18	-0.16	0	0.14
ENSG00000180370	PAK2	-0.04	-0.09	-0.17	-0.54	-0.15	-0.05	-0.01	-0.02	-0.04	-0.07	0.06	-0.12	-0.26	-0.37
ENSG00000181019	NQO1	0.01	0.01	0.03	-1.02	-0.27	0.45	0.99	-0.12	-0.24	-0.49	-0.37	0.08	0.42	0.67
ENSG00000182934	SRPR	-0.03	-0.06	-0.13	0.59	0.98	0.78	0.56	-0.16	-0.31	-0.62	1.12	1.13	0.4	0.12
ENSG00000187134	AKR1C1	-0.3	-0.59	-1.18	-2.09	-0.54	0.66	1.51	-0.24	-0.48	-0.98	1	1.16	1.46	1.71
ENSG00000197081	IGF2R	-0.01	-0.01	0	-0.69	-0.18	0.17	0.42	-0.15	-0.31	-0.61	-0.1	-0.26	-0.13	-0.01
ENSG00000197256	KANK2	0.06	0.12	0.24	-0.59	-0.35	0.02	0.31	0.02	0.04	0.07	-0.6	-0.33	-0.04	0.18
ENSG00000213551	DNAJC9	0.03	0.07	0.14	0.44	-0.21	0.01	0.06	0	-0.01	-0.02	-0.33	-0.31	-0.21	-0.13
ENSG00000223496	EXOSC6	-0.05	-0.1	-0.2	0.22	0.71	0.65	0.58	-0.1	-0.19	-0.38	-0.17	-0.04	-0.1	-0.11
ENSG00000227184	EPPK1	-0.09	-0.17	-0.35	-2.39	-1.14	0.01	0.85	-0.04	-0.07	-0.14	-0.58	-0.5	-0.61	-0.7
ENSG00000002586	CD99	-0.02	-0.05	-0.11	-0.53	-0.07	0.15	0.31	-0.16	-0.32	-0.64	-0.11	-0.01	-0.06	-0.1
ENSG00000010278	CD9	0	0	0	-1.57	-0.82	-0.21	0.22	-0.33	-0.66	-1.33	-0.76	-0.38	-0.56	-0.5
ENSG00000081154	PCNP	0.04	0.08	0.15	-0.43	-0.43	-0.1	0.03	-0.04	-0.08	-0.16	0.21	0.21	0.21	0.21
ENSG00000086061	DNAJA1	0.04	0.09	0.17	-0.7	-0.53	-0.19	0.08	-0.18	-0.36	-0.73	-0.72	-0.71	-0.49	-0.4
ENSG00000092201	SUPT16H	0.03	0.07	0.15	-1.33	-0.77	-0.16	0.31	-0.3	-0.59	-1.17	-1.43	-1.18	-0.65	-0.23
ENSG00000100028	SNRPD3	-0.17	-0.33	-0.67	-1.74	-1.22	-0.68	-0.28	-0.06	-0.11	-0.21	-0.84	-0.79	-0.44	-0.14
ENSG00000100300	TSPO	-0.02	-0.04	-0.08	-0.42	-0.06	0.13	0.25	0	0.01	0.02	-0.03	-0.17	0.04	0.19
ENSG00000101474	APMAP	0.01	0.03	0.06	-1.12	-0.94	-0.55	-0.28	-0.43	-0.85	-1.72	-1.45	-1.42	-1.04	-0.71
ENSG00000101911	PRPS2	-0.03	-0.06	-0.12	-0.86	-0.29	0.17	0.53	-0.07	-0.13	-0.25	-0.65	-0.31	0.21	0.62
ENSG00000102967	DHODH	-0.1	-0.19	-0.37	-0.76	-0.7	-0.18	0.12	0.01	0.03	0.06	-0.32	-0.18	0.14	0.39
ENSG00000103018	CYB5B	0	0.01	0.03	-1.42	-1.02	-0.33	0.21	0.02	0.03	0.05	-1.18	-0.69	-0.14	0.26
ENSG00000104823	ECH1	-0.11	-0.23	-0.46	-0.45	-0.2	0.26	0.62	-0.22	-0.45	-0.91	-0.33	0.04	0.13	0.27
ENSG00000108479	GALK1	-0.17	-0.33	-0.68	-1.14	-0.73	-0.2	0.18	-0.02	-0.04	-0.07	-0.13	0.01	0.24	0.42
ENSG00000111726	CMAS	0.02	0.05	0.09	0.18	0.19	0.3	0.39	-0.14	-0.28	-0.56	-0.07	0.13	0.18	0.22
ENSG00000111843	TMEM14C	0.03	0.06	0.11	-0.36	-0.18	-0.04	0.05	-0.03	-0.06	-0.12	-0.22	-0.15	-0.11	-0.09
ENSG00000112159	MDN1	0.02	0.04	0.07	-0.89	0.05	0.54	0.86	-0.12	-0.24	-0.48	-0.73	-0.35	-0.05	0.17
ENSG00000112335	SNX3	0	0	0	-0.2	-0.25	-0.07	0.07	-0.21	-0.42	-0.84	-1.11	-1.1	-0.6	-0.3
ENSG00000112667	C6orf108	-0.07	-0.15	-0.31	-0.6	-0.73	-0.41	-0.12	0.07	0.14	0.28	-0.42	-0.12	0.25	0.53
ENSG00000115541	HSPE1	-0.08	-0.15	-0.31	-1.53	-1.01	-0.43	0.01	-0.05	-0.11	-0.23	-0.79	-0.79	-0.27	-0.07
ENSG00000116791	CRYZ	0.05	0.11	0.21	-1.2	-0.49	0.24	0.79	-0.17	-0.33	-0.68	-1.28	-0.78	-0.27	0.12
ENSG00000117228	GBP1	0.26	0.51	1.03	-0.92	-1.9	-1.65	-1.36	0.02	0.04	0.08	-2.77	-2.49	-1.97	-1.56
ENSG00000117593	DARS2	0.03	0.05	0.11	-0.55	-0.71	-0.01	0.57	-0.2	-0.39	-0.79	-2.28	-0.97	-0.26	0.21
ENSG00000119707	RBM25	0.02	0.03	0.05	-0.59	-0.33	-0.13	0.03	0.03	0.06	0.11	-0.27	-0.17	-0.07	0.01
ENSG00000124693	HIST1H3A	-0.06	-0.13	-0.27	0.55	-0.66	-1.08	-1.31	0.18	0.38	0.75	-0.47	-0.15	-0.06	-0.03
ENSG00000124767	GLO1	0	0	0	-0.61	-0.81	-0.33	-0.07	-0.18	-0.37	-0.75	-0.89	-0.75	-0.53	-0.36
ENSG00000130508	PXDN	0.04	0.07	0.15	-0.38	-0.81	-0.77	-0.72	0.17	0.34	0.66	-0.59	-0.2	-0.32	-0.46
ENSG00000132182	NUP210	-0.06	-0.13	-0.25	-1.4	-1.47	-0.55	0.01	-0.25	-0.5	-1	-1.69	-1.3	-0.79	-0.41
ENSG00000132383	RPA1	-0.12	-0.25	-0.5	-1.36	-1.04	-0.59	-0.24	-0.09	-0.18	-0.37	-1.03	-0.93	-0.58	-0.29
ENSG00000132676	DAP3	-0.01	-0.02	-0.04	-1.3	-0.53	-0.16	0.17	-0.03	-0.07	-0.14	-0.42	-0.42	-0.03	0.12
ENSG00000134809	TIMM10	-0.11	-0.22	-0.44	-0.82	-0.47	-0.45	-0.46	-0.05	-0.1	-0.21	-0.12	-0.39	-0.33	-0.28
ENSG00000135387	CAPRIN1	0.03	0.06	0.12	-0.51	-0.46	-0.08	0.16	-0.09	-0.19	-0.38	-0.63	-0.13	-0.06	0.07
ENSG00000136143	SUCLA2	0.06	0.12	0.25	-0.1	-0.04	-0.11	-0.14	-0.12	-0.25	-0.5	-0.12	-0.25	-0.26	-0.26
ENSG00000137267	TUBB2A	-0.06	-0.12	-0.23	-0.98	-1.04	-1.14	-1.21	-0.04	-0.07	-0.14	-0.72	-0.83	-0.97	-1.08
ENSG00000137801	THBS1	0.02	0.03	0.05	-0.02	-0.41	-0.77	-1.04	0.25	0.51	1.02	-0.62	-0.57	-0.61	-0.65
ENSG00000137807	KIF23	0.05	0.1	0.19	-0.15	-0.71	-0.81	-0.87	0.04	0.07	0.15	-0.71	-0.23	-0.29	-0.24
ENSG00000140263	SORD	-0.09	-0.18	-0.34	-1.03	-0.7	-0.14	0.31	-0.08	-0.15	-0.3	-1.03	-0.97	-0.49	-0.1
ENSG00000141141	DDX52	-0.02	-0.03	-0.07	-0.63	-0.42	-0.17	0.02	0.01	0.02	0.02	-0.41	0.42	0.16	0.32
ENSG00000143183	TMCO1	-0.03	-0.07	-0.14	-0.98	-0.5	-0.14	0.12	-0.17	-0.34	-0.68	0.42	0.17	-0.04	-0.19
ENSG00000143418	CERS2	0	0.01	0.01	-0.59	-0.13	0.27	0.57	-0.27	-0.54	-1.09	-0.52	-0.3	-0.15	-0.05
ENSG00000143473	KCNH1	0.08	0.16	0.33	0.35	0.05	-0.16	-0.31	0.16	0.32	0.63	-0.35	-0.57	-0.17	-0.05
ENSG00000143614	GATAD2B	-0.22	-0.45	-0.9	-1.67	-1.09	-0.56	-0.18	0.01	0.02	0.03	-0.82	-0.49	-0.1	0.19
ENSG00000143799	PARP1	-0.08	-0.16	-0.32	-1.53	-1.02	-0.47	-0.07	-0.24	-0.48	-0.96	-0.76	-0.59	-0.42	-0.29
ENSG00000143977	SNRPG	-0.04	-0.08	-0.16	-0.58	-0.5	-0.37	-0.27	-0.04	-0.07	-0.14	-0.26	-0.28	-0.07	0.06
ENSG00000146386	ABRACL	-0.11	-0.22	-0.45	-1.97	-1.08	-0.44	0.05	-0.08	-0.15	-0.3	-0.71	-0.71	-0.21	-0.02
ENSG00000147155	EBP	0.03	0.07	0.13	0.05	-0.1	-0.06	-0.01	-0.05	-0.1	-0.2	-0.48	-0.36	-0.35	-0.33
ENSG00000149792	MRPL49	0.11	0.21	0.41	0.83	-0.03	-0.33	-0.56	0	-0.01	-0.02	0.01	-0.04	-0.27	-0.46
ENSG00000151247	EIF4E	-0.17	-0.34	-0.67	-1.67	-0.86	-0.36	-0.02	-0.16	-0.31	-0.62	-0.82	-0.5	-0.17	0.08
ENSG00000155380	SLC16A1	-0.1	-0.21	-0.41	-1.19	-0.56	-0.07	0.28	0.01	0.01	0.01	-0.42	-0.33	-0.03	0.21
ENSG00000155438	MKI67IP	-0.01	-0.02	-0.04	-0.62	-0.41	-0.24	-0.12	0	0	0	-0.12	-0.17	-0.16	-0.15
ENSG00000164687	FABP5	0.01	0.03	0.05	-1.04	-0.45	0.12	0.55	-0.17	-0.34	-0.67	-0.53	-0.48	-0.27	-0.11
ENSG00000165029	ABCA1	0.13	0.26	0.52	-0.4	-0.08	0.15	0.3	0.08	0.16	0.33	0.18	0.06	-0.09	-0.22
ENSG00000167085	PHB	-0.09	-0.18	-0.36	-1.55	-1	-0.44	-0.02	-0.24	-0.49	-0.98	-1.07	-0.7	-0.59	-0.43
ENSG00000167768	KRT1	-0.03	-0.06	-0.12	-0.24	-0.13	-0.05	0.01	-0.01	-0.01	-0.02	0.25	0.07	-0.19	-0.4
ENSG00000169020	ATP5I	-0.05	-0.11	-0.22	-0.85	-0.38	-0.02	0.24	0.01	0.01	0.03	0	-0.24	0.09	0.26
ENSG00000171403	KRT9	-0.18	-0.37	-0.76	-0.9	-0.64	-0.93	-1.07	-0.05	-0.1	-0.19	0.13	-0.27	-0.64	-0.9
ENSG00000172534	HCFC1	0.12	0.24	0.48	-0.83	0.06	0.31	0.63	-0.16	-0.31	-0.62	-0.84	-0.58	-0.31	-0.1
ENSG00000172867	KRT2	-0.04	-0.09	-0.17	-0.18	-0.07	0.02	0.09	-0.03	-0.07	-0.13	0	-0.13	-0.14	-0.14
ENSG00000173376	NDNF	0.09	0.19	0.39	0.86	-0.03	0.23	0.26	-0.08	-0.16	-0.33	-0.45	0.16	0.17	0.1
ENSG00000175073	VCPIP1	0.02	0.04	0.08	0.17	0.31	0.21	0.11	0.08	0.16	0.33	0.33	0.33	0.3	0.27
ENSG00000183311	TUBB	-0.04	-0.08	-0.16	-1.87	-1.38	-0.83	-0.4	-0.24	-0.48	-0.96	-1.5	-1.22	-0.98	-0.8
ENSG00000186395	KRT10	0.15	0.3	0.61	1.08	0.9	0.52	0.21	0.09	0.19	0.38	0.7	0.46	0.17	-0.06
ENSG00000186603	HPDL	-0.14	-0.28	-0.56	-2.2	-1.39	-0.46	0.22	-0.04	-0.08	-0.15	-0.88	-0.88	0.04	0.38
ENSG00000187109	NAP1L1	0.09	0.19	0.38	-0.26	-0.02	0.23	0.42	0.08	0.15	0.29	-0.21	-0.04	0.01	0.04
ENSG00000187555	USP7	-0.01	-0.02	-0.03	-1.36	-0.66	-0.08	0.34	-0.16	-0.31	-0.63	-1	-0.77	-0.3	0.07
ENSG00000188536	HBA1	-0.07	-0.15	-0.29	-0.4	-0.17	-0.32	-0.39	-0.05	-0.1	-0.2	0.21	-0.15	-0.09	-0.03
ENSG00000188612	SUMO2	-0.14	-0.28	-0.57	-0.76	-0.34	-0.11	0.09	-0.07	-0.15	-0.31	-1.13	-0.69	-0.24	0.1
ENSG00000196504	PRPF40A	-0.09	-0.18	-0.36	-1.12	-0.37	0.25	0.71	-0.02	-0.05	-0.1	-0.44	-0.24	0	0.17
ENSG00000197345	MRPL21	0	0	0	0.14	0.27	0.08	-0.02	0.01	0.01	0.02	0.33	0.22	0.09	-0.01
ENSG00000197451	HNRNPAB	-0.02	-0.05	-0.1	-0.66	-0.44	-0.22	-0.04	-0.25	-0.5	-1	-0.72	-0.68	-0.48	-0.31
ENSG00000197601	FAR1	0.04	0.08	0.17	0.03	0	0.04	0.07	-0.06	-0.12	-0.25	-0.44	-0.13	-0.05	-0.01
ENSG00000197728	RPS26	-0.24	-0.48	-0.95	-2.38	-1.6	-0.86	-0.32	-0.18	-0.35	-0.69	-0.74	-0.68	-0.44	-0.27
ENSG00000197747	S100A10	-0.07	-0.13	-0.26	-1.03	-0.74	-0.36	-0.06	-0.03	-0.05	-0.1	-0.91	-0.6	-0.27	-0.02
ENSG00000198604	BAZ1A	0.03	0.06	0.12	0.16	0.06	0.09	0.13	0.05	0.11	0.21	-0.58	-0.35	-0.07	0.14
ENSG00000204220	PFDN6	-0.24	-0.48	-0.96	-1.23	-0.79	-0.41	-0.14	0.06	0.12	0.23	-0.73	-0.46	0.04	0.44
ENSG00000205581	HMGN1	0.05	0.1	0.19	-0.13	-0.16	-0.13	-0.12	-0.1	-0.21	-0.41	-0.4	-0.33	-0.33	-0.33
ENSG00000001497	LAS1L	-0.02	-0.05	-0.09	-0.05	-0.1	-0.06	-0.04	-0.1	-0.2	-0.39	-0.37	-0.24	-0.16	-0.1
ENSG00000004478	FKBP4	-0.1	-0.2	-0.4	-0.96	-0.53	-0.12	0.18	-0.13	-0.27	-0.54	-0.48	-0.3	-0.16	-0.07
ENSG00000004700	RECQL	-0.07	-0.14	-0.28	-0.05	0.05	-0.04	-0.1	0	0.01	0.02	0.41	0.28	0.2	0.16
ENSG00000004779	NDUFAB1	-0.06	-0.13	-0.26	-0.54	-0.47	-0.33	-0.23	-0.02	-0.04	-0.09	-0.17	-0.21	-0.1	0
ENSG00000004864	SLC25A13	-0.03	-0.07	-0.15	-0.23	-0.5	-0.78	-0.99	-0.09	-0.18	-0.35	-0.65	-0.64	-0.34	-0.23
ENSG00000005007	UPF1	0.12	0.24	0.48	0.46	0.06	0.02	-0.02	0.05	0.09	0.18	-0.29	-0.07	-0.22	-0.38
ENSG00000005022	SLC25A5	0.05	0.1	0.21	-0.07	-0.16	0.05	0.16	-0.1	-0.2	-0.4	-0.33	-0.31	-0.26	-0.23
ENSG00000007080	CCDC124	-0.07	-0.14	-0.29	-0.52	-0.49	-0.44	-0.4	-0.08	-0.16	-0.31	-0.19	-0.24	-0.3	-0.33
ENSG00000007923	DNAJC11	-0.03	-0.07	-0.14	-0.37	-0.27	-0.11	0.01	0.01	0.02	0.05	-0.29	-0.19	-0.05	0.06
ENSG00000008018	PSMB1	-0.02	-0.04	-0.08	-0.21	-0.05	0.03	0.07	0.02	0.03	0.07	0.11	0.03	0.07	0.12
ENSG00000011485	PPP5C	-0.03	-0.05	-0.1	-0.34	-0.84	-0.47	-0.32	-0.18	-0.36	-0.71	-0.94	-0.65	-0.42	-0.24
ENSG00000013583	HEBP1	-0.02	-0.03	-0.06	-0.13	-0.24	-0.13	-0.04	-0.01	-0.01	-0.02	-0.22	-0.15	-0.08	-0.02
ENSG00000014641	MDH1	0.05	0.1	0.2	-0.31	-0.31	-0.09	0.07	-0.03	-0.06	-0.12	-0.43	-0.33	-0.23	-0.16
ENSG00000015479	MATR3	-0.16	-0.32	-0.64	-0.52	-0.49	-0.32	-0.17	-0.15	-0.31	-0.64	-0.74	-0.37	-0.03	0.22
ENSG00000029363	BCLAF1	0.08	0.16	0.33	0.18	0.03	0.01	0.01	0.09	0.18	0.36	-0.15	-0.15	-0.08	-0.03
ENSG00000035928	RFC1	0.07	0.13	0.26	0.4	0.33	0.22	0.13	-0.03	-0.06	-0.12	0.17	0.36	0.19	0.11
ENSG00000038274	MAT2B	0.13	0.26	0.53	0.39	0.33	0.3	0.28	-0.05	-0.1	-0.19	-0.27	-0.03	0.16	0.3
ENSG00000039123	SKIV2L2	-0.02	-0.05	-0.09	0.07	0.27	0.19	0.18	-0.08	-0.16	-0.32	-0.07	0.04	0.05	0.05
ENSG00000042493	CAPG	-0.11	-0.22	-0.45	-0.77	-0.54	-0.41	-0.33	-0.09	-0.18	-0.37	-0.16	-0.06	-0.04	-0.03
ENSG00000044115	CTNNA1	0.03	0.05	0.1	0.17	0.17	-0.19	-0.33	-0.07	-0.14	-0.29	0.18	-0.16	-0.35	-0.48
ENSG00000053371	AKR7A2	-0.06	-0.12	-0.23	-0.5	-0.43	-0.4	-0.38	-0.03	-0.07	-0.15	-0.19	-0.46	-0.06	0.14
ENSG00000053372	MRTO4	-0.15	-0.3	-0.6	-0.73	-0.56	-0.41	-0.3	0	-0.01	-0.01	-0.26	-0.17	-0.16	-0.13
ENSG00000054118	THRAP3	0.05	0.09	0.18	0.25	0.16	0.12	0.09	-0.05	-0.1	-0.21	-0.1	-0.12	-0.16	-0.19
ENSG00000055044	NOP58	0.11	0.22	0.43	0.44	0.22	0.02	-0.13	0.12	0.25	0.5	0.39	0.34	0.03	-0.25
ENSG00000055950	MRPL43	-0.09	-0.17	-0.35	-0.44	-0.28	-0.23	-0.21	-0.09	-0.18	-0.37	0.01	0.1	0.05	0.03
ENSG00000062485	CS	0.03	0.06	0.14	-0.15	-0.22	-0.08	0.05	-0.05	-0.1	-0.2	-0.51	-0.37	-0.31	-0.28
ENSG00000062650	WAPAL	0.07	0.14	0.3	0.64	0.19	0.11	0.06	-0.01	-0.02	-0.04	0.13	0.13	0.13	0.13
ENSG00000063244	U2AF2	-0.03	-0.06	-0.11	-0.4	-0.41	-0.24	-0.1	-0.03	-0.07	-0.13	-0.43	-0.32	-0.14	0
ENSG00000065427	KARS	0.03	0.06	0.13	-0.32	0.07	0.22	0.3	-0.02	-0.04	-0.08	0.07	-0.14	-0.1	-0.04
ENSG00000066322	ELOVL1	0	0.01	0.01	0.17	-0.25	-0.26	-0.26	-0.12	-0.24	-0.48	-0.21	-0.7	-0.38	-0.26
ENSG00000067334	DNTTIP2	0.14	0.27	0.54	0.59	0.56	0.52	0.5	0.02	0.04	0.08	0.25	0.23	0.2	0.18
ENSG00000067533	RRP15	-0.03	-0.06	-0.13	-0.11	-0.32	-0.38	-0.42	0.07	0.13	0.26	-0.21	-0.11	-0.02	0.03
ENSG00000067560	RHOA	-0.03	-0.06	-0.13	-0.29	-0.19	-0.27	-0.3	-0.12	-0.24	-0.48	-0.09	-0.17	-0.36	-0.5
ENSG00000067704	IARS2	-0.02	-0.05	-0.09	-0.38	-0.27	-0.02	0.17	-0.14	-0.28	-0.55	-0.43	-0.34	-0.11	0.09
ENSG00000069248	NUP133	0.01	0.02	0.05	-0.16	-0.07	0.02	0.1	-0.03	-0.05	-0.1	-0.44	-0.28	-0.23	-0.21
ENSG00000070785	EIF2B3	-0.07	-0.15	-0.3	-0.01	0.01	-0.02	-0.04	-0.04	-0.07	-0.14	-0.28	-0.2	-0.14	-0.1
ENSG00000070814	TCOF1	-0.05	-0.1	-0.21	-0.29	-0.53	-0.26	-0.12	-0.18	-0.37	-0.74	-0.77	-0.72	-0.56	-0.42
ENSG00000071626	DAZAP1	-0.05	-0.1	-0.21	-0.48	-0.23	-0.16	-0.12	0.01	0.03	0.06	0.27	0.17	0.15	0.14
ENSG00000072958	AP1M1	-0.04	-0.08	-0.16	-0.33	-0.42	-0.29	-0.23	-0.17	-0.33	-0.65	-0.48	-0.38	-0.33	-0.3
ENSG00000073969	NSF	0	0.01	0.02	-0.25	-0.11	-0.03	0.03	-0.05	-0.09	-0.18	-0.29	-0.27	-0.18	-0.1
ENSG00000074071	MRPS34	-0.04	-0.08	-0.15	-0.36	-0.17	0.02	0.17	-0.06	-0.12	-0.23	-0.22	-0.17	-0.13	-0.1
ENSG00000074800	ENO1	0.01	0.02	0.05	0.24	-0.06	-0.03	0	-0.19	-0.38	-0.76	-0.52	-0.54	-0.49	-0.44
ENSG00000075239	ACAT1	-0.07	-0.15	-0.29	-0.73	-0.6	-0.29	-0.05	-0.11	-0.21	-0.42	-0.39	-0.4	-0.13	0.11
ENSG00000075785	RAB7A	-0.03	-0.06	-0.11	-0.62	-0.38	-0.15	0.02	0	-0.01	-0.01	-0.45	-0.4	-0.28	-0.19
ENSG00000077097	TOP2B	-0.04	-0.08	-0.15	0	-0.21	-0.1	0	-0.03	-0.05	-0.1	-0.31	-0.18	-0.08	0
ENSG00000077380	DYNC1I2	0.01	0.03	0.05	-0.35	-0.2	-0.08	0.01	-0.08	-0.16	-0.33	0.03	-0.13	-0.15	-0.15
ENSG00000079246	XRCC5	-0.05	-0.1	-0.19	-0.42	-0.42	-0.42	-0.42	-0.1	-0.19	-0.37	-0.45	-0.38	-0.25	-0.15
ENSG00000079462	PAFAH1B3	-0.21	-0.43	-0.87	-0.97	-1.1	-0.94	-0.78	-0.1	-0.2	-0.41	-0.91	-0.7	-0.42	-0.19
ENSG00000079785	DDX1	0.09	0.17	0.35	0.42	0.35	0.35	0.35	-0.05	-0.09	-0.17	-0.09	0	-0.02	-0.05
ENSG00000082153	BZW1	0.02	0.03	0.07	0	0.22	0.28	0.34	0.16	0.31	0.61	1.23	0.84	0.93	1.03
ENSG00000082515	MRPL22	-0.04	-0.07	-0.14	-0.02	-0.07	-0.09	-0.1	-0.07	-0.15	-0.3	0.02	0.02	-0.05	-0.11
ENSG00000083123	BCKDHB	0.07	0.14	0.28	0.01	0.08	0.3	0.44	-0.18	-0.35	-0.71	-0.49	-0.7	-0.48	-0.37
ENSG00000083444	PLOD1	0.07	0.14	0.29	0.32	0.19	0.23	0.24	-0.28	-0.55	-1.1	-0.88	-0.64	-0.52	-0.43
ENSG00000083845	RPS5	-0.04	-0.07	-0.13	-0.3	-0.1	0	0.07	-0.01	-0.03	-0.05	0.04	-0.09	-0.02	0.06
ENSG00000084207	GSTP1	-0.02	-0.05	-0.09	-0.15	-0.14	-0.14	-0.14	0.02	0.04	0.08	-0.1	-0.14	-0.21	-0.25
ENSG00000084733	RAB10	-0.08	-0.16	-0.33	-0.16	0.01	0.05	0.06	-0.06	-0.13	-0.26	-0.04	-0.14	-0.12	-0.1
ENSG00000084754	HADHA	0.06	0.13	0.26	0.4	0.35	0.42	0.47	-0.13	-0.26	-0.53	-0.09	-0.45	-0.17	-0.08
ENSG00000087460	GNAS	-0.1	-0.2	-0.39	-0.66	-0.2	0.03	0.18	-0.01	-0.01	-0.03	-0.06	-0.03	0.25	0.47
ENSG00000088205	DDX18	-0.05	-0.1	-0.2	-0.43	-0.25	-0.25	-0.27	0.06	0.12	0.23	0.19	0.1	0.04	0
ENSG00000088247	KHSRP	-0.03	-0.06	-0.12	0.19	-0.02	-0.15	-0.25	0	0	0.01	-0.24	-0.15	-0.14	-0.14
ENSG00000089009	RPL6	0.01	0.02	0.03	-0.25	-0.23	-0.07	0.05	-0.08	-0.16	-0.31	-0.4	-0.34	-0.21	-0.11
ENSG00000089154	GCN1L1	-0.12	-0.23	-0.46	-0.72	-0.37	-0.07	0.15	-0.12	-0.24	-0.49	-0.23	-0.33	-0.2	-0.08
ENSG00000089597	GANAB	-0.04	-0.08	-0.17	-0.4	0.04	0.29	0.45	-0.11	-0.21	-0.43	-0.16	-0.12	-0.06	-0.02
ENSG00000090273	NUDC	0.04	0.07	0.14	0.24	-0.01	-0.03	-0.02	-0.14	-0.28	-0.56	-0.46	-0.45	-0.39	-0.37
ENSG00000091483	FH	-0.08	-0.16	-0.32	-0.47	-0.38	-0.3	-0.25	-0.17	-0.35	-0.7	-0.32	-0.29	-0.26	-0.24
ENSG00000094916	CBX5	-0.08	-0.16	-0.33	-0.3	-0.41	-0.06	0.08	-0.05	-0.09	-0.18	-0.15	-0.28	-0.06	0.12
ENSG00000096746	HNRNPH3	-0.08	-0.15	-0.31	-0.57	-0.27	-0.14	-0.06	-0.08	-0.16	-0.32	-0.18	-0.24	-0.19	-0.15
ENSG00000100097	LGALS1	-0.04	-0.09	-0.18	-0.31	-0.23	-0.28	-0.3	0.03	0.06	0.12	-0.03	-0.05	-0.07	-0.08
ENSG00000100138	NHP2L1	-0.06	-0.12	-0.25	-0.27	-0.14	-0.15	-0.17	-0.03	-0.06	-0.12	0.15	0.07	0.04	0.02
