Pathway_name	Filename	Column_header	Value
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	CDK4
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	AKT1
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	SCYL1
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	MARK3
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	GSK3B
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	HCK
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	SYK
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	AKT2
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	CDK1
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	CDK2
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	CSNK1A1
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	CSNK2A1
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	PAK2
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	MAPK13
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	PTK7
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	VRK1
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	STK24
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	PRPF4B
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	CDK5
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	MTOR
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	OXSR1
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	FGR
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	SRC
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	YES1
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	PAK4
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	PRKAA1
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	PRKDC
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	DDR1
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	SCYL2
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	GSK3A
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	CDK11A
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	CSNK1D
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	MAP2K3
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	CAMK1D
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	PTK2
proteome	CPTAC_ovarian_cancer_protein_zscores.txt	gene_symbol	PRKCD
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	LIG1_t183
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	LIG1_s141
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	RB1_s795
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	TCOF1_s583
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	TSC2_s981
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	PRR5_s240
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	PUM1_t711
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	DUT_s99
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	HNRNPH2_s104
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	TOP2A_s1106
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	BCLAF1_s531
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	CTNND1_s268
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	CHEK1_s296
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	CDCA7L_s117
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	SLC9A3R2_s303
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	SUPT5H_t1034
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	MAP4_s696
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	TCF3_s379
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	TP53BP1_s1678
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	PTPN3_s359
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	STMN1_s38
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	STMN1_s16
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	RBM17_t71
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	GSK3B_y216
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	RBMXL1_s326
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	EIF4ENIF1_s78
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	EIF4ENIF1_s951
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	EIF4ENIF1_s670
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	CELF1_s28
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	ATR_s435
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	POU2F1_s448
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	CUX1_s1270
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	EZH2_t367
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	SPHK2_s387
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	KAT5_s90
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	PTPN2_s304
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	CDK9_s347
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	GTF2I_s784
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	GTF2I_s412
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	PARP1_s786
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	CDK7_t170
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	CTNNB1_s191
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	CTNNB1_s552
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	GTF2F1_s385
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	HNRNPA1_s6
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	RBMX_t216
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	RBMX_s326
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	LIG3_s210
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	NPAT_t1350
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	ARID4A_s864
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	SMARCC2_s283
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	SMARCC2_s286
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	SNRNP70_s226
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	SSB_s366
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	SUPT6H_t1523
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	XPO1_s391
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	HIRIP3_s125
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	EIF4EBP1_t70
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	CAD_s1859
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	DBN1_s142
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	ARHGAP35_s1150
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	MCM2_s139
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	MCM2_s41
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	HSP90AA1_s263
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	NCL_s67
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	HNRNPH1_s104
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	HSF1_s121
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	RBL2_s1080
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	ARID1A_s363
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	NUMA1_s2047
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	ORC2_t116
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	CDK16_s119
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	RANBP2_s2280
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	XRCC1_s266
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	XRCC1_s241
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	RAN_s135
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	DYRK1B_y273
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	ERF_s327
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	NCOA2_s493
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	KHDRBS1_s35
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	KHDRBS1_s20
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	U2AF2_s79
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	HSP90AB1_s226
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	HSP90AB1_s261
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	RALY_s135
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	SIRT1_s27
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	KIF4A_t799
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	KIF4A_s801
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	SETDB1_s1066
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	STK39_s371
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	CARHSP1_s41
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	CARHSP1_s52
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	TBC1D4_s341
phospho	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt	gene_symbol_site	CDK12_t893
